DOI,"Author, year",biomass (particle size),Type-of-Biomass,Total HSP,"Cellulose, %","Lignin, %","Hemicellulose, %",solvent (concentration),SMILES,Solvent vol. %,Solvent viscosity (mPa.s),S1,S2,S3,S4,S5,S6,Water vol. %,T (oC),time (min),Solid loading (g/mL),acid (given),Catalyst density (g/mL),Catalyst mol-wt (g/mol),pH of catalyst,Catalyst loading (mM),"Delignification,%"
10.1039/c5gc02034d,Zhang et al. 2015,Japanese cypress,Softwood,31.04883251,44.5,31.9,20,Ethanol:Water 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,170,45,18.75,0.4% HCl,1.49,36.46,1.1,8,67
10.1039/c5gc02034d,Zhang et al. 2015,Miscanthus,Grassy,24.26581958,37.7,25.1,37,Ethanol:Water 80%,OCC,80,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,20,170,60,12.5,0.5% H2SO4,1.83,98.079,2.75,6,70.3
10.1039/c5gc02034d,Zhang et al. 2015,Pitch pine,Softwood,31.04883251,43.9,26.1,30,Ethanol:Water 50% (v/v),OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,180,0,10,1% H2SO4 (w/v),1.83,98.079,2.75,102,9
10.1039/c5gc02034d,Zhang et al. 2015,Pitch pine,Softwood,31.04883251,43.9,26.1,30,Ethanol:Water 50% (v/v),OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,210,10,10,1% MgCl2 (w/v),2.32,95.211,7,102,1
10.1039/c5gc02034d,Zhang et al. 2015,Pitch pine,Softwood,31.04883251,43.9,26.1,30,Ethanol:Water 50% (v/v),OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,190,20,10,2% NaOH (w/v),2.13,39.997,13,204,55
10.1039/c5gc02034d,Zhang et al. 2015,Japanese cedar,Softwood,31.04883251,47.8,31,20.3,Glycerol:Water 91% (w/w),OCC(O)CO,98.46,521.03,0.37055,0.83345,6.22755,2.2685,1.4124,1.05255,1.54,180,6,5.88,0.1%HCl (w/w),1.49,36.46,1.1,13,50.2
10.1039/c5gc02034d,Zhang et al. 2015,Japanese cedar,Softwood,31.04883251,47.8,31,20.3,Glycerol:Water 91% (w/w),OCC(O)CO,98.46,521.03,0.37055,0.83345,6.22755,2.2685,1.4124,1.05255,1.54,180,6,5.88,0.1%H2SO4 (w/w),1.83,98.079,2.75,13,45.3
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,200,45,16.67,none,0,0,0,0,46.9
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,200,50,16.67,none,0,0,0,0,51.2
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,200,75,16.67,none,0,0,0,0,63.4
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 70% v/v,OCC,70,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,30,200,75,16.67,none,0,0,0,0,53.4
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,190,45,16.67,none,0,0,0,0,40.5
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,190,75,16.67,none,0,0,0,0,40.5
10.1016/j.polymdegradstab.2014.08.026,Yanez et al 2014,Eucalyptus globulus,Hardwood,24.26581958,47,27,18,Ethanol:Water 30% v/v,OCC,30,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,70,190,45,16.67,none,0,0,0,0,3.92
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,0,10,none,0,0,0,0,84.5
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,30,10,none,0,0,0,0,95.1
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,60,10,none,0,0,0,0,97
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,90,10,none,0,0,0,0,98
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,120,10,none,0,0,0,0,98
10.1016/j.indcrop.2015.06.020,"Guo, et al, 2015",Triploid of Populus tomentosa,Hardwood,24.26581958,48.35,20.04,19.54,Ethanol:Water 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,205,150,10,none,0,0,0,0,98
10.1016/j.fuel.2016.09.023,Kim et al 2016,yelLow poplar Liriodendron tulipifera,Hardwood,24.26581958,48,20,19,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,140,10,10,0.5wt% H2SO4,1.83,98.079,2.75,5,9
10.1016/j.fuel.2016.09.023,Kim et al 2016,yelLow poplar Liriodendron tulipifera,Hardwood,24.26581958,48,20,19,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,140,10,10,1.0wt% H2SO4,1.83,98.079,2.75,10,9.3
10.1016/j.fuel.2016.09.023,Kim et al 2016,yelLow poplar Liriodendron tulipifera,Hardwood,24.26581958,48,20,19,Ethanol:Water 50% v/v,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,180,10,10,1.0wt% H2SO4,1.83,98.079,2.75,10,12.9
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,120,60,10,H2SO4 85mM,1.83,98.079,2.75,85,55
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,110,60,10,H2SO4 85mM,1.83,98.079,2.75,85,48
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,100,60,10,H2SO4 85mM,1.83,98.079,2.75,85,33
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,1440,10,H2SO4 85mM,1.83,98.079,2.75,85,46
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,720,10,H2SO4 85mM,1.83,98.079,2.75,85,48
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,360,10,H2SO4 85mM,1.83,98.079,2.75,85,40
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,180,10,H2SO4 85mM,1.83,98.079,2.75,85,28
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,90,10,H2SO4 85mM,1.83,98.079,2.75,85,21
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,90,60,10,H2SO4 85mM,1.83,98.079,2.75,85,17
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,80,360,10,H2SO4 85mM,1.83,98.079,2.75,85,21
10.1039/D2GC03446H,"Cheng, 2023",Hybrid poplar,Hardwood,24.26581958,38,24,21,GVL:Water 9:1 w/w,CC1CCC(=O)O1,98.65,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,1.35,80,60,10,H2SO4 85mM,1.83,98.079,2.75,85,10
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,130,60,10,AlCl3 20mM,2.48,133.34,2,20,45.55
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,140,60,10,AlCl3 20mM,2.48,133.34,2,20,75.31
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,150,60,10,AlCl3 20mM,2.48,133.34,2,20,83.26
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,160,60,10,AlCl3 20mM,2.48,133.34,2,20,77.12
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,170,60,10,AlCl3 20mM,2.48,133.34,2,20,61.7
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,180,60,10,AlCl3 20mM,2.48,133.34,2,20,64.48
10.1039/C6RA09640A,Wang et al 2016,Eucalyptus,Hardwood,24.26581958,44.2,25.19,16.57,Ethanol 50%,OCC,50,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,50,180,60,10,none,0,0,0,0,49.86
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,50,10,7.5,self,0,0,0,0,31
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,50,30,7.5,self,0,0,0,0,62
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,50,120,7.5,self,0,0,0,0,90
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,60,10,7.5,self,0,0,0,0,49
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,60,30,7.5,self,0,0,0,0,84
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,60,120,7.5,self,0,0,0,0,91
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,70,10,7.5,self,0,0,0,0,56
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,70,30,7.5,self,0,0,0,0,98
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,80,10,7.5,self,0,0,0,0,74
10.1021/acssuschemeng.1c00123,"He et al, 2021",poplar,Hardwood,24.26581958,26.1,26.1,20.9,Chlorobenzenesulfonic acid (72%),C1=CC(=CC=C1S(=O)(=O)O)Cl,72,21.698,0.73225,0.83675,7.18135,8.49235,1.6633,0,28,80,30,7.5,self,0,0,0,0,98
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 15mM,1.83,98.079,2.75,15,51.62
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 17.5mM,1.83,98.079,2.75,17.5,61.27
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 20mM,1.83,98.079,2.75,20,71.04
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 22.5mM,1.83,98.079,2.75,22.5,78.14
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 25mM,1.83,98.079,2.75,25,83.46
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 30mM,1.83,98.079,2.75,30,44.02
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 60mM,1.83,98.079,2.75,60,57.45
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 90mM,1.83,98.079,2.75,90,63.59
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 120mM,1.83,98.079,2.75,120,70.65
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 150mM,1.83,98.079,2.75,150,62.78
10.1016/j.biortech.2023.128854,"Fang et al, 2023",Mason pine,Softwood,31.04883251,43.52,29.13,20.81,"1,4-BDO:water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 180mM,1.83,98.079,2.75,180,60.48
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,GVL 80% w/w,CC1CCC(=O)O1,93.52,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,6.48,150,75,10,H2SO4 75mM,1.83,98.079,2.75,75,86.7
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,GVL 80% w/w,CC1CCC(=O)O1,93.52,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,6.48,170,25,10,H2SO4 25mM,1.83,98.079,2.75,25,93.3
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,THF 80% w/w,C1CCOC1,94.46,0.46,0,0,7.60295,2.5123,0.4997,0.58545,5.54,150,75,10,H2SO4 75mM,1.83,98.079,2.75,75,43.3
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,THF 80% w/w,C1CCOC1,94.46,0.46,0,0,7.60295,2.5123,0.4997,0.58545,5.54,170,25,10,H2SO4 25mM,1.83,98.079,2.75,25,70
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,EtOH 80% w/w,OCC,95.05,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,4.95,150,75,10,H2SO4 75mM,1.83,98.079,2.75,75,33.3
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,EtOH 80% w/w,OCC,95.05,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,4.95,170,25,10,H2SO4 25mM,1.83,98.079,2.75,25,53.3
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,MeTHF 80% w/w,CC1CCCO1,94.66,0.6,0,0,8.54635,3.536,0.49625,0.5578,5.34,150,75,10,H2SO4 75mM,1.83,98.079,2.75,75,16.7
10.1016/j.fuel.2022.127361,"Xu et al, 2023",Mason pine,Softwood,31.04883251,47,30,23,MeTHF 80% w/w,CC1CCCO1,94.66,0.6,0,0,8.54635,3.536,0.49625,0.5578,5.34,170,25,10,H2SO4 25mM,1.83,98.079,2.75,25,26.7
https://doi.org/10.1016/j.biteb.2021.100880,Parot et al,Black Spruce,Softwood,31.04883251,50.65,26.05,16.47,ethanol 70% v/v,OCC,70,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,30,180,90,10,FeCl3 5% w/w_dry,2.9,162.2,2,51,74
10.1016/j.biortech.2019.02.088,"Xu et al., 2019",Eucalyptus,Hardwood,24.26581958,34.22,38.2,27.58,Tetrahydro-2-furanmethanol 80%,C1CC(OC1)CO,80,4.757,0.0542,0.284,8.91625,2.82615,0.99955,0.80985,20,120,30,10,1% HCl,1.49,36.46,1.1,10,24
10.1016/j.biortech.2019.02.088,"Xu et al., 2019",Eucalyptus,Hardwood,24.26581958,34.22,38.2,27.58,Tetrahydro-2-furanmethanol 80%,C1CC(OC1)CO,81,4.757,0.0542,0.284,8.91625,2.82615,0.99955,0.80985,19,140,30,10,1% HCl,1.49,36.46,1.1,10,46
10.1016/j.biortech.2019.02.088,"Xu et al., 2019",Eucalyptus,Hardwood,24.26581958,34.22,38.2,27.58,Tetrahydro-2-furanmethanol 80%,C1CC(OC1)CO,82,4.757,0.0542,0.284,8.91625,2.82615,0.99955,0.80985,18,160,30,10,1% HCl,1.49,36.46,1.1,10,78
10.1016/j.biortech.2019.02.088,"Xu et al., 2019",Eucalyptus,Hardwood,24.26581958,34.22,38.2,27.58,Tetrahydro-2-furanmethanol 80%,C1CC(OC1)CO,83,4.757,0.0542,0.284,8.91625,2.82615,0.99955,0.80985,17,180,30,10,1% HCl,1.49,36.46,1.1,10,92
10.1021/acssuschemeng.6b01205,"Nitsos et al, 2016",Spruce ,Softwood,31.04883251,39.3,28.1,30.5,Ethanol 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,183,60,10,1% H2SO4,1.83,98.079,2.75,10,62
10.1021/acssuschemeng.6b01205,"Nitsos et al, 2016",Birch,Hardwood,24.26581958,35.2,26.1,28,Ethanol 60% v/v,OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,183,60,10,1% H2SO4,1.83,98.079,2.75,10,69
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,None,0,0,0,0,40
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,H2SO4 10mM,1.83,98.079,2.75,10,45
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,H2SO4 25mM,1.83,98.079,2.75,25,52
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,HCl 20mM,1.49,36.46,1.1,20,49
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,HCl 50mM,1.49,36.46,1.1,50,59
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,MgCL2 10mM,2.32,95.211,7,10,45
10.1002/jctb.2654,"Huijgen et al, 2011",WilLow,Hardwood,24.26581958,32.9,28.5,14.6,Ethanol 55-56% w/w,OCC,66.03,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,33.97,190,180,9.52,MgCl2 25mM,2.32,95.211,7,25,49
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 100% w/w,O=S1(=O)CCCC1,100,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,0,140,90,12.6,none,0,0,0,0,2.4
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 100% w/w,O=S1(=O)CCCC1,100,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,0,150,90,12.6,none,0,0,0,0,5.5
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 100% w/w,O=S1(=O)CCCC1,100,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,0,160,90,12.6,none,0,0,0,0,12.9
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 100% w/w,O=S1(=O)CCCC1,100,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,0,170,90,12.6,none,0,0,0,0,20.5
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 100% w/w,O=S1(=O)CCCC1,100,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,0,180,90,12.6,none,0,0,0,0,23.6
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 90% w/w,O=S1(=O)CCCC1,98.38,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,1.62,170,90,12.29,none,0,0,0,0,23.4
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 70% w/w,O=S1(=O)CCCC1,80.34,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,19.66,170,90,11.68,none,0,0,0,0,38
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 50% w/w,O=S1(=O)CCCC1,42.88,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,57.12,170,90,11.15,none,0,0,0,0,57.5
10.1016/j.ijbiomac.2020.05.074,"Zhong et al, 2020",WilLow,Hardwood,24.26581958,49,19.9,17.3,Sulfolane 50% w/w,O=S1(=O)CCCC1,42.88,10.34,0,0.0662,9.0667,2.4253,1.72905,0.53595,57.12,170,90,11.15,0.5% w/w dry NaOH,2.13,39.997,13,6,47.3
